Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
NHGRI_mGorGor1-v2.1_pri	GCF_029281585.2	GCA_029281585.3	Gorilla gorilla gorilla	9595	 Primates        	 Mammalia 
AgileGrace	GCF_016433145.1	GCA_016433145.1	Gracilinanus agilis	191870	 Didelphimorphia 	 Mammalia 
NIH_TR_1.0	GCF_004785775.1	GCA_004785775.1	Grammomys surdaster	491861	 Rodentia        	 Mammalia 
Gulo_gulo_luscus_R-V1.0	GCA_024510155.1		Gulo gulo luscus	2888765	 Carnivora       	 Mammalia 
mHalGry1.hap1.1	GCF_964656455.1	GCA_964656455.1	Halichoerus grypus	9711	 Carnivora       	 Mammalia 
PumYag	GCF_014898765.1	GCA_014898765.1	Herpailurus yagouaroundi	1608482	 Carnivora       	 Mammalia 
HetGla_female_1.0	GCF_000247695.1	GCA_000247695.1	Heterocephalus glaber	10181	 Rodentia        	 Mammalia 
mHipAmp2.hap2	GCF_030028045.1	GCA_030028045.1	Hippopotamus amphibius kiboko	575201	 Artiodactyla    	 Mammalia 
ASM189008v1	GCF_001890085.2	GCA_001890085.1	Hipposideros armiger	186990	 Chiroptera      	 Mammalia 
GRCh38.p14	GCF_000001405.40	GCA_000001405.29	Homo sapiens	9606	 Primates        	 Mammalia 
ASM300989v1	GCF_003009895.1	GCA_003009895.1	Hyaena hyaena	95912	 Carnivora       	 Mammalia 
HMol_V3	GCF_009828535.3	GCA_009828535.3	Hylobates moloch	81572	 Primates        	 Mammalia 
mIctTri1.hap1	GCF_052094955.1	GCA_052094955.1	Ictidomys tridecemlineatus	43179	 Rodentia        	 Mammalia 
mJacJac1.mat.Y.cur	GCF_020740685.1	GCA_020740685.1	Jaculus jaculus	51337	 Rodentia        	 Mammalia 
mKogBre1 haplotype 1	GCF_026419965.1	GCA_026419965.1	Kogia breviceps	27615	 Cetacea         	 Mammalia 
mLagAlb1.1	GCF_949774975.1	GCA_949774975.1	Lagenorhynchus albirostris	27610	 Cetacea         	 Mammalia 
Lemmus_lemmus_n_2024_04_v2	GCA_964027135.1		Lemmus lemmus	79949	 Rodentia        	 Mammalia 
mLemCat1.pri	GCF_020740605.2	GCA_020740605.1	Lemur catta	9447	 Primates        	 Mammalia 
O.geoffroyi_Oge1_pat1.0	GCF_018350155.1	GCA_018350155.1	Leopardus geoffroyi	46844	 Carnivora       	 Mammalia 
LepWed1.0	GCF_000349705.1	GCA_000349705.1	Leptonychotes weddellii	9713	 Carnivora       	 Mammalia 
mLepTim1.pri	GCF_033115175.1	GCA_033115175.1	Lepus europaeus	9983	 Lagomorpha      	 Mammalia 
Lipotes_vexillifer_v1.1	GCF_000442215.2	GCA_000442215.2	Lipotes vexillifer	118797	 Cetacea         	 Mammalia 
GSC_riverotter_1.0	GCF_010015895.1	GCA_010015895.1	Lontra canadensis	76717	 Carnivora       	 Mammalia 
mLoxAfr1.hap2	GCF_030014295.1	GCA_030014295.1	Loxodonta africana	9785	 Proboscidea     	 Mammalia 
mLutLut1.2	GCF_902655055.1	GCA_902655055.2	Lutra lutra	9657	 Carnivora       	 Mammalia 
mLynCan4.pri.v2	GCF_007474595.2	GCA_007474595.2	Lynx canadensis	61383	 Carnivora       	 Mammalia 
LYPA1.0	GCA_900661375.1		Lynx pardinus	191816	 Carnivora       	 Mammalia 
mLynRuf1.p	GCF_022079265.1	GCA_022079265.1	Lynx rufus	61384	 Carnivora       	 Mammalia 
T2T-MFA8v1.1	GCF_037993035.2	GCA_037993035.2	Macaca fascicularis	9541	 Primates        	 Mammalia 
T2T-MMU8v2.0	GCF_049350105.2	GCA_049350105.2	Macaca mulatta	9544	 Primates        	 Mammalia 
mMacNem.hap1	GCF_043159975.1	GCA_043159975.1	Macaca nemestrina	9545	 Primates        	 Mammalia 
ASM2454274v1	GCF_024542745.1	GCA_024542745.1	Macaca thibetana thibetana	257877	 Primates        	 Mammalia 
bilby.v1.9.chrom.fasta	GCF_037893015.1	GCA_037893015.1	Macrotis lagotis	92651	 Peramelemorphia 	 Mammalia 
Mleu.le_1.0	GCF_000951045.1	GCA_000951045.1	Mandrillus leucophaeus	9568	 Primates        	 Mammalia 
MJ_LKY	GCF_040802235.1	GCA_040802235.1	Manis javanica	9974	 Pholidota       	 Mammalia 
